street,area
Выставочный переулок,Пресненский район
улица Гашека,Пресненский район
Большая Никитская улица,Пресненский район
Глубокий переулок,Пресненский район
Большой Гнездниковский переулок,Пресненский район
Малый Гнездниковский переулок,Пресненский район
Большая Грузинская улица,Пресненский район
Малая Грузинская улица,Пресненский район
Грузинская площадь,Пресненский район
улица Грузинский Вал,Пресненский район
Грузинский переулок,Пресненский район
Большой Девятинский переулок,Пресненский район
Большая Декабрьская улица,Пресненский район
Дружинниковская улица,Пресненский район
Елисеевский переулок,Пресненский район
улица Ермакова Роща,Пресненский район
улица Анатолия Живова,Пресненский район
Ермолаевский переулок,Пресненский район
улица Заморенова,Пресненский район
2-я Звенигородская улица,Пресненский район
2-й Звенигородский переулок,Пресненский район
4-й Звенигородский переулок,Пресненский район
Звенигородское шоссе,Пресненский район
1-й Земельный переулок,Пресненский район
Зоологическая улица,Пресненский район
Зоологический переулок,Пресненский район
Калашный переулок,Пресненский район
переулок Капранова,Пресненский район
Малая Никитская улица,Пресненский район
Нижний Кисловский переулок,Пресненский район
Средний Кисловский переулок,Пресненский район
улица Климашкина,Пресненский район
Малый Козихинский переулок,Пресненский район
Большой Кондратьевский переулок,Пресненский район
Средний Кондратьевский переулок,Пресненский район
Конюшковская улица,Пресненский район
Большой Конюшковский переулок,Пресненский район
Малый Конюшковский переулок,Пресненский район
улица Костикова,Пресненский район
переулок Красина,Пресненский район
улица Красина,Пресненский район
улица Красная Пресня,Пресненский район
3-я Красногвардейская улица,Пресненский район
Красногвардейский бульвар,Пресненский район
1-й Красногвардейский проезд,Пресненский район
2-й Красногвардейский проезд,Пресненский район
Тестовская улица,Пресненский район
Краснопресненская набережная,Пресненский район
площадь Краснопресненская Застава,Пресненский район
Кудринский переулок,Пресненский район
улица Литвина-Седого,Пресненский район
2-я Магистральная улица,Пресненский район
3-я Магистральная улица,Пресненский район
улица Сергея Макеева,Пресненский район
Мантулинская улица,Пресненский район
Медвежий переулок,Пресненский район
Мерзляковский переулок,Пресненский район
Большой Патриарший переулок,Пресненский район
Мукомольный проезд,Пресненский район
Брюсов переулок,Пресненский район
площадь Никитские Ворота,Пресненский район
улица Николаева,Пресненский район
Николоваганьковский переулок,Пресненский район
Нововаганьковский переулок,Пресненский район
Новопресненский переулок,Пресненский район
Ножовый переулок,Пресненский район
Газетный переулок,Пресненский район
Большой Козихинский переулок,Пресненский район
